MetaT k13_genus,MetaT k12_genus,Deep_genus,MetaT k13_species,MetaT k12_species,Deep_species
,,,0.9632,0.9557,0.9836
,,,0.9834,0.8452,0.5418
,,,0.8376,0.1393,0.0296
,,,0.9949,0.9923,0.9898
,,,0.8151,0.6612,0.6024
,,,0.9460,0.8146,0.7625
,,,0.8165,0.0265,0.0264
,,,0.9690,0.9570,0.9782
,,,0.0940,0.0298,0.0094
,,,0.9740,0.9697,0.9428
,,,0.9619,0.8847,0.6128
,,,0.8336,0.4893,0.2912
,,,0.8750,0.7954,0.8187
,,,0.9855,0.9835,0.9968
,,,0.2138,0.0871,0.0149
,,,0.9871,0.9865,0.9554
,,,0.9882,0.9851,0.9811
,,,0.9791,0.9755,0.9253
,,,0.2250,0.0924,0.0284
,,,0.9948,0.9947,0.9994
,,,0.9496,0.9397,0.9113
,,,0.9908,0.9857,0.9647
,,,0.9497,0.9413,0.8882
,,,0.9849,0.9836,0.9406
,,,0.9042,0.9662,0.9546
,,,0.9656,0.9640,0.9936
,,,0.9734,0.9677,0.8408
,,,0.9666,0.9135,0.5954
,,,0.9664,0.9634,0.9504
,,,0.3083,0.2434,0.0652
,,,0.9890,0.9851,0.9907
,,,0.9686,0.9638,0.9426
,,,0.9929,0.8738,0.7346
,,,0.9846,0.9767,0.8957
,,,0.9915,0.9071,0.6690
,,,0.6010,0.2876,0.1635
,,,0.9906,0.9884,0.9489
,,,0.9741,0.9223,0.8583
,,,0.9662,0.9624,0.9494
,,,0.8328,0.4286,0.5468
,,,0.9813,0.9801,0.9473
,,,0.7300,0.1158,0.1223
,,,0.9147,0.8485,0.5561
,,,0.9881,0.9861,0.9902
,,,0.9699,0.9689,0.9910
,,,0.2906,0.1592,0.0271
,,,0.9553,0.9551,0.9636
,,,0.9459,0.4770,0.1536
,,,0.9722,0.9666,0.8653
,,,0.9729,0.9627,0.9427
,,,0.9727,0.9726,0.9924
,,,0.9574,0.9480,0.8743
,,,0.9657,0.9656,0.9452
,,,0.9782,0.9130,0.6093
,,,0.9712,0.9679,0.9538
,,,0.9778,0.9766,0.9936
,,,0.9916,0.9903,0.9692
,,,0.9691,0.9243,0.7029
,,,0.9569,0.8996,0.6895
,,,0.9799,0.9527,0.9387
,,,0.9689,0.9437,0.8084
,,,0.9670,0.9637,0.9618
,,,0.9710,0.9552,0.7620
,,,0.9915,0.9915,0.9974
,,,0.9260,0.8375,0.4070
,,,0.9830,0.9781,0.9643
,,,0.8451,0.4345,0.3051
,,,0.8415,0.5638,0.3842
,,,0.9569,0.9411,0.8339
,,,0.1257,0.0520,0.0187
,,,0.9830,0.9780,0.9159
,,,0.1735,0.0771,0.0217
,,,0.9734,0.9707,0.9368
,,,0.9842,0.9838,0.9836
,,,0.9859,0.9842,0.9679
,,,0.9615,0.9054,0.5676
,,,0.8433,0.7112,0.3796
,,,0.9770,0.9376,0.6798
,,,0.9372,0.9143,0.6912
,,,0.2973,0.0000,0.0010
,,,0.9697,0.9643,0.9568
,,,0.1696,0.0835,0.0095
,,,0.9740,0.9745,0.9973
,,,0.9717,0.9673,0.9756
,,,0.9341,0.6957,0.6112
,,,0.9326,0.7335,0.6641
,,,0.9748,0.9711,0.9578
,,,0.0834,0.0342,0.0121
,,,0.9953,0.9968,0.9930
,,,0.9889,0.9790,0.9812
,,,0.9370,0.9107,0.8256
,,,0.8358,0.5111,0.4045
,,,0.1069,0.0374,0.0061
,,,0.9676,0.9693,0.8634
,,,0.9860,0.9858,0.9956
,,,0.9297,0.9064,0.7911
,,,0.8923,0.7265,0.7991
,,,0.9639,0.9634,0.9803
,,,0.9447,0.9300,0.7472
,,,0.9333,0.9616,0.8995
,,,0.9572,0.9567,0.8689
,,,0.1055,0.0329,0.0075
,,,0.3595,0.0482,0.0240
,,,0.8213,0.0233,0.0297
,,,0.9726,0.9710,0.9952
,,,0.9891,0.9867,0.9257
,,,0.9591,0.1217,0.0709
,,,0.9347,0.4596,0.2185
,,,0.9887,0.9885,0.9955
,,,0.7663,0.5626,0.4529
,,,0.9441,0.8909,0.7611
,,,0.9481,0.7873,0.5405
,,,0.9841,0.9834,0.9748
,,,0.9869,0.9658,0.9716
,,,0.9532,0.9307,0.8023
,,,0.8954,0.7848,0.7103
,,,0.9637,0.9599,0.9432
,,,0.9591,0.9481,0.7509
,,,0.9222,0.3532,0.3112
